cpu_thermal,sbs-1-000b,sbs-1-000b/current_now,CROS_USB_PD_CHARGER0/voltage_now,sbs-1-000b/voltage_now,sbs-1-000b/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,cpu2/scaling_cur_freq,cpu3/scaling_cur_freq,
42612,26300,-439000,0,11827000,64,1703000,1703000,2106000,2106000,
43667,26300,-400000,0,11808000,64,1703000,1703000,2106000,2106000,
39915,26300,-300000,0,11834000,64,1703000,1703000,2106000,2106000,
39329,26300,-343000,0,11828000,64,1703000,1703000,2106000,2106000,
41674,26300,-443000,0,11808000,64,1703000,1703000,2106000,2106000,
41557,26300,-398000,0,11815000,64,1703000,1703000,2106000,2106000,
41557,26300,-426000,0,11809000,64,1703000,1703000,2106000,2106000,
40502,26300,-346000,0,11815000,64,1703000,1703000,2106000,2106000,
47654,26300,-619000,0,11741000,64,1703000,1703000,2106000,2106000,
44723,26300,-550000,0,11788000,64,1703000,1703000,2106000,2106000,
41440,26300,-426000,0,11802000,64,1105000,1105000,702000,702000,
43316,26300,-544000,0,11794000,64,1703000,1703000,2106000,2106000,
47302,26300,-680000,0,11760000,64,1703000,1703000,2106000,2106000,
47185,26300,-621000,0,11771000,64,1703000,1703000,2106000,2106000,
48709,26300,-673000,0,11757000,64,1703000,1703000,2106000,2106000,
46012,26300,-647000,0,11780000,64,1703000,1703000,2106000,2106000,
46364,26300,-569000,0,11777000,64,1703000,1703000,2106000,2106000,
48592,26300,-623000,0,11766000,64,1703000,1703000,2106000,2106000,
46364,26300,-541000,0,11782000,64,1703000,1703000,2106000,2106000,
46364,26300,-518000,0,11777000,64,1703000,1703000,2106000,2106000,
47185,26300,-517000,0,11768000,64,1703000,1703000,2106000,2106000,
46716,26300,-533000,0,11781000,64,1703000,1703000,2106000,2106000,
45543,26300,-531000,0,11778000,64,1703000,1703000,2106000,2106000,
46012,26300,-502000,0,11779000,64,1703000,1703000,2106000,2106000,
46481,26300,-554000,0,11776000,64,1703000,1703000,2106000,2106000,
46012,26300,-524000,0,11785000,64,1703000,1703000,2106000,2106000,
46481,26300,-541000,0,11776000,64,1703000,1703000,2106000,2106000,
45074,26300,-523000,0,11786000,64,1703000,1703000,2106000,2106000,
46012,26300,-541000,0,11772000,64,1703000,1703000,2106000,2106000,
53047,26300,-735000,0,11743000,64,1703000,1703000,2106000,2106000,
44136,26400,-425000,0,11809000,64,1001000,1001000,2106000,2106000,
43785,26300,-426000,0,11806000,64,1703000,1703000,2106000,2106000,
45661,26300,-518000,0,11792000,64,1703000,1703000,2106000,2106000,
45778,26300,-512000,0,11781000,64,1703000,1703000,2106000,2106000,
45426,26300,-517000,0,11779000,64,1703000,1703000,2106000,2106000,
46364,26300,-544000,0,11788000,64,1703000,1703000,2106000,2106000,
46247,26400,-515000,0,11788000,64,1703000,1703000,2106000,2106000,
46716,26400,-529000,0,11785000,64,1703000,1703000,2106000,2106000,
43550,26400,-432000,0,11803000,64,1001000,1001000,507000,507000,
42964,26400,-443000,0,11797000,64,1508000,1508000,507000,2106000,
42847,26400,-435000,0,11805000,64,507000,507000,1001000,1001000,
42378,26400,-409000,0,11802000,64,1209000,1209000,507000,507000,
42143,26400,-429000,0,11797000,64,1300000,1300000,2106000,2106000,
42260,26400,-428000,0,11798000,64,1001000,1001000,507000,507000,
42026,26400,-434000,0,11799000,64,1105000,1105000,507000,507000,
41909,26400,-429000,0,11796000,64,1105000,1105000,507000,507000,
41909,26400,-432000,0,11797000,64,1001000,1001000,1001000,1001000,
41674,26400,-425000,0,11807000,64,702000,702000,2106000,2106000,
41791,26400,-423000,0,11812000,64,507000,507000,702000,702000,
41557,26400,-432000,0,11799000,64,1105000,1105000,702000,702000,
41557,26400,-444000,0,11800000,64,507000,507000,2106000,2106000,
41557,26400,-447000,0,11787000,64,1105000,1209000,2106000,2106000,
41557,26400,-433000,0,11801000,64,1001000,1001000,702000,702000,
41440,26400,-426000,0,11800000,64,1001000,1001000,702000,702000,
41557,26400,-423000,0,11799000,64,1001000,1001000,702000,702000,
41791,26400,-432000,0,11802000,64,507000,507000,702000,702000,
41440,26400,-428000,0,11800000,64,1105000,1105000,1001000,1001000,
41322,26400,-433000,0,11797000,64,507000,507000,1001000,1001000,
41440,26400,-429000,0,11803000,64,1001000,1001000,507000,507000,
41322,26400,-423000,0,11804000,63,1105000,1105000,507000,507000,
41088,26400,-426000,0,11809000,63,1001000,1001000,702000,702000,
