INT3400 Thermal,TSR0,TSR1,TSR2,B0DB,soc_dts0,soc_dts1,BAT0/current_now,BAT0/voltage_now,BAT0/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,
20000,30800,25800,26800,46000,36000,40000,596000,11494000,57,2582300,2582300,
20000,30800,25800,26800,46000,36000,40000,610000,11524000,57,2582300,2582300,
20000,30800,25800,26800,46000,37000,40000,584000,11536000,57,2582300,2582234,
20000,30800,25800,26800,47000,37000,41000,604000,11513000,57,2582300,2582300,
20000,30800,25800,26800,47000,37000,41000,602000,11492000,57,2582300,2582300,
20000,30800,25800,27800,47000,37000,41000,590000,11534000,57,2582300,2582300,
20000,30800,25800,26800,47000,37000,41000,576000,11534000,57,2582300,2582300,
20000,30800,25800,26800,46000,37000,41000,595000,11516000,57,2582300,2582234,
20000,30800,25800,27800,47000,37000,40000,590000,11517000,57,2582300,2582234,
20000,30800,25800,27800,46000,37000,40000,594000,11522000,57,2582300,2582300,
20000,30800,25800,27800,47000,37000,40000,577000,11527000,57,2582300,2582300,
20000,30800,25800,27800,46000,37000,40000,577000,11504000,57,2582234,2582234,
20000,30800,25800,27800,46000,37000,40000,582000,11518000,57,2582300,2582300,
20000,30800,25800,27800,47000,37000,41000,609000,11532000,57,2582300,2582300,
20000,30800,25800,27800,46000,37000,40000,595000,11505000,57,2582300,2582300,
20000,30800,25800,27800,46000,37000,40000,570000,11518000,57,2582300,2582300,
20000,30800,25800,27800,46000,37000,40000,571000,11529000,57,2582234,2582234,
20000,30800,25800,27800,47000,37000,40000,571000,11499000,57,2582300,2582300,
20000,30800,25800,27800,46000,36000,40000,576000,11529000,57,2582300,2582300,
20000,30800,25800,27800,46000,37000,40000,582000,11538000,57,2582300,2582300,
20000,30800,25800,27800,46000,37000,40000,572000,11505000,57,2582300,2582300,
20000,30800,25800,27800,46000,37000,40000,572000,11522000,57,2582300,2582300,
20000,30800,25800,27800,46000,37000,40000,570000,11534000,57,2582300,2582234,
20000,30800,25800,27800,46000,37000,40000,602000,11490000,57,2582234,2582300,
20000,30800,25800,27800,46000,37000,40000,568000,11505000,57,2582300,2582300,
